image,class,x,y,w,h,fpath
2015_00001.png,Bicycle,204,28,271,193,./ExDark/Bicycle
2015_00002.png,Bicycle,136,190,79,109,./ExDark/Bicycle
2015_00002.png,Bicycle,219,172,63,131,./ExDark/Bicycle
2015_00002.png,Bicycle,277,188,76,124,./ExDark/Bicycle
2015_00002.png,Bicycle,348,183,57,81,./ExDark/Bicycle
2015_00002.png,Car,316,171,33,26,./ExDark/Bicycle
2015_00002.png,Car,395,175,34,24,./ExDark/Bicycle
2015_00003.png,Bicycle,287,101,211,246,./ExDark/Bicycle
2015_00003.png,Bus,3,128,35,21,./ExDark/Bicycle
2015_00003.png,Chair,215,146,107,70,./ExDark/Bicycle
2015_00004.jpg,Bicycle,279,121,206,145,./ExDark/Bicycle
2015_00004.jpg,Bicycle,109,142,191,211,./ExDark/Bicycle
2015_00005.jpg,Bicycle,225,61,181,271,./ExDark/Bicycle
2015_00006.jpg,Bicycle,365,126,134,199,./ExDark/Bicycle
2015_00006.jpg,Bicycle,212,166,17,32,./ExDark/Bicycle
2015_00006.jpg,People,203,159,18,32,./ExDark/Bicycle
2015_00007.jpg,Bicycle,35,194,162,115,./ExDark/Bicycle
2015_00008.jpg,Bicycle,108,271,109,97,./ExDark/Bicycle
2015_00008.jpg,People,116,211,69,160,./ExDark/Bicycle
2015_00009.jpg,Bicycle,174,151,170,103,./ExDark/Bicycle
2015_00009.jpg,Bicycle,346,154,121,98,./ExDark/Bicycle
2015_00009.jpg,People,241,87,66,158,./ExDark/Bicycle
2015_00009.jpg,People,302,83,77,166,./ExDark/Bicycle
2015_00010.jpg,Bicycle,515,349,268,179,./ExDark/Bicycle
2015_00010.jpg,Bicycle,156,382,157,125,./ExDark/Bicycle
2015_00010.jpg,People,79,316,167,174,./ExDark/Bicycle
2015_00011.jpg,Bicycle,344,321,283,445,./ExDark/Bicycle
2015_00011.jpg,People,365,77,423,622,./ExDark/Bicycle
2015_00012.jpg,Bicycle,27,430,575,335,./ExDark/Bicycle
2015_00012.jpg,Car,28,124,234,122,./ExDark/Bicycle
2015_00012.jpg,People,166,161,367,592,./ExDark/Bicycle
2015_00012.jpg,People,505,232,513,524,./ExDark/Bicycle
2015_00013.jpg,Bicycle,235,441,121,210,./ExDark/Bicycle
2015_00013.jpg,Bicycle,652,429,97,160,./ExDark/Bicycle
2015_00013.jpg,People,223,324,112,314,./ExDark/Bicycle
2015_00013.jpg,People,662,356,75,192,./ExDark/Bicycle
2015_00014.jpg,Bicycle,378,184,382,271,./ExDark/Bicycle
2015_00014.jpg,People,38,259,275,159,./ExDark/Bicycle
2015_00014.jpg,People,36,242,216,256,./ExDark/Bicycle
2015_00015.jpg,Bicycle,245,261,224,378,./ExDark/Bicycle
2015_00015.jpg,Bicycle,539,347,48,98,./ExDark/Bicycle
2015_00015.jpg,Bicycle,471,305,70,183,./ExDark/Bicycle
2015_00016.jpg,Bicycle,83,241,260,178,./ExDark/Bicycle
2015_00017.jpg,Bicycle,23,230,213,174,./ExDark/Bicycle
2015_00017.jpg,Chair,7,267,147,145,./ExDark/Bicycle
2015_00018.jpg,Bicycle,57,249,250,154,./ExDark/Bicycle
2015_00019.jpg,Bicycle,251,173,246,132,./ExDark/Bicycle
